procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28942144  14848 912384    0    0     0     7    0    1 36  2 62  0  0
 0  0  16384 28953792  14976 911808    0    0     0   236 30255 44670  1  1 97  0  0
 5  0  16384 28898496  14976 910080    0    0     0     0 41589 63035  3  2 95  0  0
 2  0  16384 28851200  14976 910080    0    0     0     0 15986 23112  6  0 94  0  0
 3  0  16384 28845568  14976 910080    0    0     0     0 14604 21690  5  0 95  0  0
 1  0  16384 28845312  14976 910080    0    0     0     0 14337 20217  3  0 96  0  0
 2  0  16384 28801280  14976 910272    0    0     0     0 12258 16827  5  1 94  0  0
 1  0  16384 28796928  15040 910336    0    0     0    88 9024 12419  2  0 98  0  0
 1  0  16384 28787712  15040 910400    0    0     0     0 4363 5843  2  0 98  0  0
 3  0  16384 28750528  15040 910464    0    0     0     0 14297 20358  5  1 95  0  0
 1  0  16384 28672512  15040 910720    0    0     0     0 16824 24030  5  1 94  0  0
 5  0  16384 28644992  15040 910720    0    0     0     0 13893 19468  5  1 95  0  0
 4  0  16384 28619328  15040 911040    0    0     0    64 16073 22722  4  1 95  0  0
 2  0  16384 28592960  15040 911040    0    0     0     0 12916 18364  5  0 95  0  0
 4  0  16384 28568000  15040 911040    0    0     0     0 12276 17733  4  0 95  0  0
 2  0  16384 28549184  15040 911040    0    0     0     0 13340 18809  4  1 95  0  0
 2  0  16384 28536192  15104 910976    0    0     0    48 12886 17739  5  0 95  0  0
 1  0  16384 28510784  15104 911168    0    0     0     0 18436 26056  4  1 96  0  0
 2  0  16384 28509120  15104 911168    0    0     0     0 11508 17049  5  0 95  0  0
 1  0  16384 28501440  15104 911168    0    0     0     0 14467 20961  3  1 96  0  0
 1  0  16384 28493184  15104 911168    0    0     0     0 13510 19560  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28451264  15104 911168    0    0     0     0 16798 23852  9  1 90  0  0
 1  0  16384 28468928  15424 913152    0    0  1308    76 14341 21041  5  0 94  0  0
 0  0  16384 28462336  15424 913280    0    0     0     0 2021 2396  0  0 100  0  0
 0  0  16384 28462336  15424 913280    0    0     0     0  333  407  0  0 100  0  0
 4  0  16384 28462528  15424 913280    0    0     0     0 3315 4662  2  0 98  0  0
 0  0  16384 28459712  15424 913280    0    0     0     0 2574 3135  2  0 98  0  0
 0  0  16384 28459776  15424 913280    0    0     0     0  369  462  0  0 100  0  0
 0  0  16384 28459776  15488 913280    0    0     0    56  396  479  0  0 100  0  0
 0  0  16384 28459776  15488 913280    0    0     0     0  460  527  0  0 100  0  0
 4  0  16384 28457088  15488 913408    0    0     0     0 8644 12553  5  0 95  0  0
