procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28952256  12800 907520    0    0     0     7    0    1 36  2 62  0  0
 0  0  16384 28961088  12928 907264    0    0     0   164 28615 43720  1  2 97  0  0
 5  0  16384 28907392  12928 907328    0    0     0     0 38507 59735  3  1 95  0  0
 2  0  16384 28863616  12928 907328    0    0     0     0 15374 22270  6  0 94  0  0
 1  0  16384 28851584  12928 907328    0    0     0     4 14761 22021  4  1 95  0  0
 1  0  16384 28847104  12928 907328    0    0     0     0 14613 20694  3  0 97  0  0
 1  0  16384 28809472  12928 907328    0    0     0     0 11230 15147  5  1 95  0  0
 1  0  16384 28802688  12992 907264    0    0     0    44 8055 11099  2  0 98  0  0
 2  0  16384 28792192  12992 907328    0    0     0     0 5487 7698  2  0 98  0  0
 1  0  16384 28739200  12992 907328    0    0     0   164 15178 22754  6  1 94  0  0
 2  0  16384 28701696  12992 907520    0    0     0     0 16247 22842  4  1 96  0  0
 3  0  16384 28654656  12992 907776    0    0     0     0 15967 22074  6  1 93  0  0
 1  0  16384 28634688  12992 907968    0    0     0     0 17773 25109  4  1 96  0  0
 2  0  16384 28619392  12992 907968    0    0     0     0 12464 17887  4  0 96  0  0
 2  0  16384 28599232  12992 907968    0    0     0     0 12871 19276  4  1 95  0  0
 3  0  16384 28581056  13056 908032    0    0     0    72 15210 20418  5  1 94  0  0
 2  0  16384 28567296  13056 908032    0    0     0     0 12627 17125  5  1 95  0  0
 1  0  16384 28545920  13056 908032    0    0     0     0 16205 24862  4  1 96  0  0
 1  0  16384 28535232  13056 908032    0    0     0     0 12951 20774  4  1 95  0  0
 1  0  16384 28528704  13056 908032    0    0     0     0 16374 23605  4  1 96  0  0
 3  0  16384 28523200  13056 908032    0    0     0     0 13698 20137  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28479808  13056 908032    0    0     0    36 16959 24490  9  1 91  0  0
 0  0  16384 28469504  13056 908352    0    0     0     0 10680 15860  4  0 95  0  0
 0  0  16384 28464576  13056 908352    0    0     0     0 1466 1921  0  0 100  0  0
 0  0  16384 28464768  13056 908352    0    0     0     0  423  564  0  0 100  0  0
 3  0  16384 28465216  13056 908352    0    0     0     0 5108 7572  3  0 97  0  0
 0  0  16384 28458304  13056 908352    0    0     0     0  872  956  1  0 99  0  0
 0  0  16384 28458688  13120 908288    0    0     0    60  347  430  0  0 100  0  0
 0  0  16384 28464640  13120 908352    0    0     0     0  410  470  0  0 100  0  0
 0  0  16384 28464640  13120 908352    0    0     0     4  355  440  0  0 100  0  0
 0  0  16384 28461376  13120 908352    0    0     0     0 3531 4027  1  0 99  0  0
 0  0  16384 28461760  13120 908352    0    0     0     0  469  551  0  0 100  0  0
 2  0  16384 28462336  13120 908352    0    0     0     0 5739 8192  2  0 98  0  0
 2  0  16384 28438016  13120 908416    0    0     0     0 4610 6621  6  0 94  0  0
 2  0  16384 28433216  13184 908416    0    0     0   164 7181 11001  4  0 96  0  0
 0  0  16384 28413120  13184 908800    0    0     0     0 3117 4699  2  0 98  0  0
 0  0  16384 28411008  13184 908800    0    0     0     0  448  571  0  0 100  0  0
 0  0  16384 28415424  13184 908800    0    0     0     0 1006 1369  0  0 100  0  0
 0  0  16384 28415424  13184 908800    0    0     0     0  487  572  0  0 100  0  0
 1  0  16384 28410368  13248 908736    0    0     0   128 8640 12635  7  0 92  0  0
 4  0  16384 28400256  13248 908864    0    0     0     0 6168 9125  4  0 96  0  0
 2  0  16384 28378688  13248 908864    0    0     0     0 8482 12787  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  16384 28375808  13248 908928    0    0     0     0 7360 10834  2  0 97  0  0
 6  0  16384 28357568  13248 908992    0    0     0     0 7348 10634  5  0 94  0  0
 0  0  16384 28349888  13248 908992    0    0     0     0 5454 8269  3  0 97  0  0
 0  0  16384 28346560  13312 909056    0    0     0   132 8831 12177  5  0 95  0  0
 0  0  16384 28343744  13312 909120    0    0     0     0 7368 10722  3  0 97  0  0
 0  0  16384 28341568  13312 909248    0    0     0     0 7103 10376  3  0 97  0  0
 0  0  16384 28339904  13312 909312    0    0     0     0 6950 9883  2  0 98  0  0
 6  0  16384 28332480  14464 908416    0    0  1620   220 9632 13838  4  0 95  0  0
 4  0  16384 28328704  14528 911424    0    0     0    40 8554 12681  7  0 92  0  0
 0  0  16384 28319424  14528 911424    0    0     0     0 5820 8294  3  0 97  0  0
 1  0  16384 28319040  14528 911424    0    0     0     0 1058 1445  0  0 100  0  0
 0  0  16384 28307136  14528 911616    0    0     0   712 3753 4590  6  0 94  0  0
 0  0  16384 28305216  14528 912384    0    0     0    88  452  537  0  0 100  0  0
 2  0  16384 28298432  14528 912960    0    0     0     0 7293 10412  6  0 94  0  0
 2  0  16384 28295616  14528 912960    0    0     0     0 10513 17290  7  0 93  0  0
 4  0  16384 28294464  14592 912960    0    0     0    72 1653 2266  2  0 97  0  0
 1  0  16384 28288512  14592 913472    0    0     0     0 6774 10213  7  0 93  0  0
 0  0  16384 28285568  14592 902720    0    0     0     0 8935 14480  5  0 95  0  0
 0  0  16384 28284032  14592 900096    0    0     0     0 2678 3310  1  0 99  0  0
 1  0  16384 28283264  14592 900160    0    0     0     0 1475 1613  4  0 96  0  0
 0  0  16384 28281024  14592 900160    0    0     0     0  367  408  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 28278720  14592 900160    0    0     0     0 5336 7356  4  0 95  0  0
 1  0  16384 28274688  14592 900800    0    0     0    64 4076 5858  4  0 96  0  0
 6  0  16384 28269312  14592 900864    0    0     0     0 7489 11323  6  0 94  0  0
 1  0  16384 28238976  14656 901888    0    0     0    64 4808 6310  4  0 95  0  0
 3  0  16384 28227968  14656 902016    0    0     0     0 4981 6599  6  0 93  0  0
 2  0  16384 28219904  14656 902720    0    0     0     0 6175 7900  6  0 94  0  0
 1  0  16384 28216832  14656 902720    0    0     0    64 4114 5338  6  0 94  0  0
 1  0  16384 28217664  14656 903360    0    0     0     0 3917 4934  6  0 94  0  0
 2  0  16384 28214400  14656 903936    0    0     0     0 4374 5586  4  0 96  0  0
 0  0  16384 28211712  14656 904064    0    0     0     0 3578 4681  4  0 96  0  0
 0  0  16384 28211136  14656 904640    0    0     0    48 5080 6504  5  0 95  0  0
 4  0  16384 28173120  14656 905216    0    0     0     0 4217 5122  3  0 97  0  0
