procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28994560  11904 898368    0    0     0     7    0    1 36  2 62  0  0
 1  0  16384 28990336  11968 899264    0    0    64   168 27484 42538  2  2 97  0  0
 3  0  16384 28939520  11968 899392    0    0     0     0 38795 60975  3  2 96  0  0
 2  0  16384 28890624  11968 899392    0    0     0     0 15068 22774  6  1 94  0  0
 3  0  16384 28875456  11968 899392    0    0     0     0 14313 22181  4  1 95  0  0
 1  0  16384 28875328  11968 899392    0    0     0     0 14578 20798  3  0 96  0  0
 1  0  16384 28839552  11968 899456    0    0     0   112 11544 15762  5  1 94  0  0
 1  0  16384 28828288  11968 899584    0    0     0     0 8391 11682  2  1 98  0  0
 2  0  16384 28821184  11968 899584    0    0     0     0 5517 7775  2  0 98  0  0
 3  0  16384 28773056  11968 899648    0    0     0     0 15310 21053  5  1 94  0  0
 2  0  16384 28726208  11968 899712    0    0     0     0 15946 22384  5  0 95  0  0
 4  0  16384 28689088  11968 899712    0    0     0     0 15101 21012  5  0 94  0  0
 3  0  16384 28669056  11968 900096    0    0     0     0 15976 23201  4  1 95  0  0
 1  0  16384 28642624  11968 900224    0    0     0     0 14283 19344  4  1 96  0  0
 2  0  16384 28629824  11968 900224    0    0     0     0 12115 17492  4  0 96  0  0
 1  0  16384 28620352  11968 900224    0    0     0     0 12235 17213  3  0 96  0  0
 2  0  16384 28609536  12032 900224    0    0     0    76 11795 17205  5  0 95  0  0
 1  0  16384 28578176  12032 900224    0    0     0     0 15592 22559  4  1 96  0  0
 3  0  16384 28565184  12032 900224    0    0     0     0 11974 18228  5  0 94  0  0
 2  0  16384 28559872  12032 900224    0    0     0     0 13726 20421  3  1 96  0  0
 1  0  16384 28555392  12032 900224    0    0     0     0 12894 19255  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  16384 28523328  12032 900224    0    0     0     0 14816 20675  8  1 91  0  0
 6  0  16384 28506048  12032 900608    0    0     0     0 14016 20168  6  1 94  0  0
 0  0  16384 28500416  12032 900800    0    0     0     0 3665 4659  1  0 99  0  0
 0  0  16384 28500288  12032 900800    0    0     0     0  422  499  0  0 100  0  0
 4  0  16384 28500160  12032 900800    0    0     0     0 1161 1480  0  0 100  0  0
 0  0  16384 28493632  12096 901504    0    0     0    88 4755 6190  3  0 97  0  0
 0  0  16384 28493632  12096 901504    0    0     0     0  434  505  0  0 100  0  0
 0  0  16384 28492288  12096 901504    0    0     0     0 2473 2942  0  0 100  0  0
 0  0  16384 28492480  12096 901504    0    0     0     0  515  578  0  0 100  0  0
 4  0  16384 28491776  12096 901568    0    0     0     0 6467 9236  2  0 97  0  0
 0  0  16384 28476224  12096 901568    0    0     0     0 2772 3833  1  0 98  0  0
 0  0  16384 28475648  12160 901760    0    0     0   944  581  738  0  0 100  0  0
 1  0  16384 28475648  12160 901760    0    0     0     0 1268 1459  2  0 98  0  0
 3  0  16384 28468928  12160 901760    0    0     0     0 2801 3860  3  0 97  0  0
 0  0  16384 28455488  12160 901824    0    0     0     0 7041 10120  5  0 95  0  0
 0  0  16384 28440064  12160 901824    0    0     0     0 11009 16967  6  0 93  0  0
 0  0  16384 28438528  12224 901888    0    0     0   172  681  819  0  0 100  0  0
 0  0  16384 28438592  12224 901888    0    0     0     0  473  526  0  0 100  0  0
 0  0  16384 28438592  12224 901888    0    0     0     0  412  500  0  0 100  0  0
 4  0  16384 28433856  12224 901888    0    0     0     0 4660 6442  3  0 97  0  0
 4  0  16384 28409856  12224 902080    0    0   324     0 7267 10367  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  16384 28392000  12288 903744    0    0     0    68 5592 7615  5  0 95  0  0
 8  0  16384 28359872  12480 904704    0    0  1368     0 12016 14384  7  1 92  0  0
 0  0  16384 28356160  12480 905280    0    0     0     0 8305 12353  4  0 95  0  0
 0  0  16384 28351296  12480 905344    0    0     0     0 8423 12335  4  0 95  0  0
 0  0  16384 28345216  12480 905408    0    0     0     0 8530 12582  3  0 97  0  0
 0  0  16384 28340416  12544 905408    0    0     0    88 6151 8743  3  0 97  0  0
 0  0  16384 28340096  12544 905536    0    0     0     0 7345 10304  2  0 97  0  0
 2  0  16384 28340160  12544 905536    0    0     0     0 9837 14084  4  0 96  0  0
 5  0  16384 28335488  12544 905536    0    0     0     0 7609 11408  7  0 93  0  0
 0  0  16384 28330496  12544 905664    0    0     4     0 6951 9697  4  0 96  0  0
 1  0  16384 28335296  12544 905728    0    0     0     0  980 1018  0  0 100  0  0
 3  0  16384 28325888  12544 905792    0    0     0     0 6001 8157  7  0 93  0  0
 0  0  16384 28318848  12544 906752    0    0     0   712  928  901  1  0 99  0  0
 2  0  16384 28299712  12544 907264    0    0     0     0 6572 9728  7  0 92  0  0
 4  0  16384 28296960  12544 907264    0    0     0     0 10957 17765  7  0 93  0  0
 3  0  16384 28313536  12544 894016    0    0     0    88 1575 1994  2  0 98  0  0
 7  0  16384 28296704  12608 894208    0    0     0    92 7938 11186  9  0 90  0  0
 2  0  16384 28290624  12608 894656    0    0     0     0 8913 13773  7  0 93  0  0
 9  0  16384 28284928  12608 894720    0    0     0     0 4714 6912  6  0 94  0  0
 1  0  16384 28271104  12608 895296    0    0     0     0 7230 10828  8  1 92  0  0
 0  0  16384 28271936  12608 895488    0    0    76   280  825  841  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28271872  12608 895488    0    0     0     0 1490 1733  1  0 98  0  0
 0  0  16384 28271872  12608 895488    0    0     0     0  407  482  0  0 100  0  0
 3  0  16384 28270208  12608 896128    0    0     0     0 4428 5952  4  0 96  0  0
 4  0  16384 28270080  12608 896128    0    0     0     0 4077 5311  5  0 95  0  0
 0  0  16384 28263168  12672 896704    0    0     0   112 3720 4653  4  0 95  0  0
 0  0  16384 28253376  12672 896768    0    0     0     0 6349 8299  6  0 94  0  0
 9  0  16384 28224640  12672 897472    0    0     0     0 5324 7425  6  0 94  0  0
 3  0  16384 28218880  12672 897536    0    0     0     0 2838 3564  6  0 94  0  0
 1  0  16384 28208512  12672 898048    0    0     0     0 3976 4973  6  0 93  0  0
 4  0  16384 28204864  12672 898880    0    0     0   812 4891 6329  4  0 96  0  0
 4  0  16384 28197376  12672 899520    0    0     0     0 6499 8818  3  0 96  0  0
 4  0  16384 28196416  12672 899584    0    0     0     0 3111 4161  3  0 97  0  0
 1  0  16384 28195776  12672 900224    0    0     0     0 5652 7626  4  0 95  0  0
 1  0  16384 28178048  12672 900864    0    0     0     0 4544 6177  4  0 96  0  0
 1  0  16384 28153728  12672 901440    0    0     0     4 4964 6708  2  0 98  0  0
 0  0  16384 28148928  12736 902272    0    0     0    68 3283 4418  2  0 98  0  0
 2  0  16384 28147968  12736 902400    0    0     0     0 4443 5834  4  0 96  0  0
 0  0  16384 28143168  12736 903040    0    0     0     0 4511 5842  3  0 96  0  0
 3  0  16384 28142592  12736 903616    0    0     0     0 4390 5715  3  0 97  0  0
 3  0  16384 28142464  12736 903744    0    0     0     0 3499 4321  3  0 97  0  0
 2  0  16384 28141120  12800 904768    0    0     0    72 3154 3932  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28137088  12800 904960    0    0     0     0 3891 4883  4  0 96  0  0
 2  0  16384 28135744  12800 905664    0    0     0     0 4171 5220  3  0 97  0  0
 4  0  16384 28134080  12800 906240    0    0     0     0 5759 7499  4  0 96  0  0
 0  0  16384 28130432  12800 906880    0    0     0     0 3985 4910  4  0 96  0  0
 1  0  16384 28169152  12800 907456    0    0     0     0 9952 13426  5  1 95  0  0
