procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 28738624  12224 944960    0    0     0     5    0    0 34  2 64  0  0
 3  0      0 28754432  12224 945856    0    0     0    64 28190 42302  1  1 97  0  0
 4  0      0 28716288  12224 945856    0    0     0     0 40725 60198  3  2 96  0  0
 2  0      0 28663104  12288 945856    0    0     0    76 16791 23268  6  1 94  0  0
 4  0      0 28653056  12288 945856    0    0     0     0 16350 23616  5  1 95  0  0
 1  0      0 28655744  12288 945856    0    0     0     0 14836 20434  3  0 96  0  0
 1  0      0 28612480  12288 945984    0    0     0     0 14460 19059  5  1 94  0  0
 1  0      0 28602240  12288 946240    0    0     0     0 9627 12516  2  0 98  0  0
 1  0      0 28594944  12288 946240    0    0     0     0 3654 4664  2  0 98  0  0
 5  0      0 28562304  12288 946240    0    0     0     0 14617 19139  5  1 95  0  0
 1  0      0 28498944  12288 946368    0    0     0     0 17565 23303  6  1 94  0  0
 1  0      0 28452864  12288 946432    0    0     0     0 14478 18883  4  0 96  0  0
 2  0      0 28432576  12352 946624    0    0     0    76 15885 21775  4  1 95  0  0
 1  0      0 28413120  12352 946752    0    0     0     0 13463 18286  4  0 96  0  0
 1  0      0 28397888  12352 946752    0    0     0     0 12000 15933  4  1 96  0  0
 1  0      0 28377728  12352 946752    0    0     0     0 14095 19094  5  0 95  0  0
 3  0      0 28360256  12352 946752    0    0     0     4 13792 18176  4  1 95  0  0
 1  0      0 28339072  12352 946816    0    0     0     0 16330 21604  4  0 96  0  0
 2  0      0 28327744  12352 946816    0    0     0     0 14224 19519  5  1 95  0  0
 1  0      0 28316608  12352 946816    0    0     0    32 15543 21164  4  0 96  0  0
 1  0      0 28308992  12352 946816    0    0     0     0 14418 19486  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 28275776  12352 946816    0    0     0   108 18924 25708 10  1 90  0  0
 5  0      0 28245248  12352 947072    0    0     0     0 15398 22084  6  0 94  0  0
 0  0      0 28240640  12352 947072    0    0     0     0 2751 3131  1  0 99  0  0
 0  0      0 28240512  12352 947072    0    0     0     0  390  468  0  0 100  0  0
 5  0      0 28240704  12352 947072    0    0     0     0 1043 1361  0  0 100  0  0
 0  0      0 28228864  12416 947008    0    0     0    88 4545 5486  3  0 96  0  0
 0  0      0 28233920  12416 947072    0    0     0     0  455  507  0  0 100  0  0
 0  0      0 28237120  12416 947072    0    0     0     0  440  539  0  0 100  0  0
 1  0      0 28237184  12416 947072    0    0     0     0  446  532  0  0 100  0  0
 0  0      0 28236672  12416 947072    0    0     0     0  834  939  0  0 100  0  0
 0  0      0 28236864  12416 947072    0    0     0   320  585  620  0  0 100  0  0
 2  0      0 28236864  12416 947136    0    0     0     0  667  954  0  0 100  0  0
 4  0      0 28230144  12416 946944    0    0     0     0 9199 12340  5  0 95  0  0
 2  0      0 28213696  12416 946944    0    0     0     0 3855 5433  4  0 96  0  0
 1  0      0 28198336  12416 946944    0    0     0     0 8633 12479  6  1 94  0  0
 0  0      0 28178560  12544 947072    0    0     0   172 12071 17871  7  1 92  0  0
 0  0      0 28184256  12544 947136    0    0     0     0  847 1097  0  0 100  0  0
 0  0      0 28184512  12544 947136    0    0     0     0  365  457  0  0 100  0  0
 0  0      0 28184512  12544 947136    0    0     0     0  429  539  0  0 100  0  0
 4  0      0 28184576  12544 947136    0    0     0     0  950 1371  0  0 100  0  0
 0  0      0 28180992  12608 947136    0    0     0    92 5236 7152  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 28148480  12608 947264    0    0     0     0 9812 14707  4  0 95  0  0
 2  0      0 28145152  12608 947264    0    0     0     0 8844 12873  4  0 95  0  0
 1  0      0 28133632  12608 947328    0    0     0     0 9508 13937  5  0 94  0  0
 1  0      0 28128960  12608 947392    0    0     0     0 6762 9300  3  0 97  0  0
 3  0      0 28125120  12608 947392    0    0     0     0 7468 10373  3  0 97  0  0
 0  0      0 28119936  12672 947456    0    0     0    80 8090 11394  3  0 97  0  0
