procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 28690496  14656 954240    0    0     0     5    0    0 34  2 64  0  0
 3  0      0 28710912  14656 953920    0    0     0    64 27165 42243  2  1 97  0  0
 3  0      0 28663104  14656 953920    0    0     0     0 38420 60205  3  1 96  0  0
 4  0      0 28616576  14656 953920    0    0     0     0 14870 21616  5  1 94  0  0
 2  0      0 28604992  14720 953920    0    0     0    84 14389 21626  5  0 95  0  0
 1  0      0 28603776  14720 954048    0    0     0     0 13544 19606  3  1 96  0  0
 2  0      0 28570048  14720 954048    0    0     0     0 11797 16482  5  1 95  0  0
 1  0      0 28554560  14720 954048    0    0     0     0 9125 12506  2  1 98  0  0
 1  0      0 28545344  14720 954048    0    0     0     0 4346 5786  2  0 98  0  0
 3  0      0 28513728  14720 954048    0    0     0     0 15091 20595  5  0 95  0  0
 2  0      0 28447104  14784 954176    0    0     0    36 16921 23339  4  1 95  0  0
 6  0      0 28404352  14784 954176    0    0     0     0 14846 20275  5  1 94  0  0
 7  0      0 28381568  14784 954240    0    0     0     0 17222 23517  4  1 95  0  0
 4  0      0 28362496  14784 954304    0    0     0     0 13110 17881  4  0 96  0  0
 2  0      0 28347904  14784 954304    0    0     0     0 15580 20686  4  0 96  0  0
 1  0      0 28334016  14784 954304    0    0     0     0 13296 17934  4  1 96  0  0
 1  0      0 28318848  14784 954304    0    0     0     0 13040 17557  4  0 95  0  0
 1  0      0 28291904  14848 954304    0    0     0    76 16016 22030  4  1 96  0  0
 4  0      0 28283328  14848 954304    0    0     0     0 11101 16233  5  1 95  0  0
 1  0      0 28277568  14848 954304    0    0     0     4 16333 22880  4  0 96  0  0
 2  0      0 28270912  14848 954304    0    0     0     0 13978 19712  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 28220416  14848 954304    0    0     0     0 16832 23600 10  1 90  0  0
 0  0      0 28215552  14848 954560    0    0     0     0 12423 18343  5  0 95  0  0
 0  0      0 28210944  14848 954560    0    0     0     0 1673 2043  0  0 100  0  0
 0  0      0 28211136  14912 954560    0    0     0   112  425  534  0  0 100  0  0
 3  0      0 28210176  14912 954560    0    0     0     0 3791 5395  2  0 98  0  0
 0  0      0 28204480  14912 954560    0    0     0     0 1401 1602  2  0 98  0  0
 0  0      0 28203456  14912 954624    0    0     0     0  903 1086  0  0 100  0  0
 0  0      0 28203712  14912 954624    0    0     0     0  414  474  0  0 100  0  0
 0  0      0 28201408  14912 954624    0    0     0    64 2448 3020  1  0 99  0  0
 0  0      0 28201408  14912 954624    0    0     0     0  353  451  0  0 100  0  0
 0  0      0 28201152  14976 954624    0    0     0    72  500  644  0  0 100  0  0
 2  0      0 28200512  14976 954688    0    0     0     0 5115 7294  2  0 98  0  0
 1  0      0 28177408  14976 954688    0    0     0     0 5061 6998  6  0 94  0  0
 0  0      0 28178048  14976 954688    0    0     0    64  425  554  0  0 100  0  0
 0  0      0 28178240  14976 954688    0    0     0     0  497  645  0  0 100  0  0
 0  0      0 28178816  14976 954688    0    0     0     0  626  811  0  0 100  0  0
 1  0      0 28179264  14976 952832    0    0     0     0 2686 3889  2  0 98  0  0
 0  0      0 28152384  15040 953088    0    0     0    84 7827 11471  5  0 95  0  0
 1  0      0 28150080  15040 953152    0    0     0     0 7555 11071  5  0 95  0  0
 2  0      0 28150400  15040 953216    0    0     0     0 5722 8473  3  0 97  0  0
 3  0      0 28129408  15040 953216    0    0     0     0 6021 8945  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 28121280  15040 953344    0    0     0     0 7843 11484  4  0 96  0  0
 3  0      0 28102784  15104 953472    0    0     0   132 6658 9499  6  0 94  0  0
 0  0      0 28086848  15104 953600    0    0     0     0 10984 15662  5  1 94  0  0
 0  0      0 28083456  15104 953600    0    0     0     0 5877 8030  3  0 97  0  0
 0  0      0 28080384  15104 953664    0    0     0     0 7373 10257  3  0 97  0  0
 0  0      0 28081792  15104 953792    0    0     0     0 7909 11345  3  0 97  0  0
 0  0      0 28080832  15104 953856    0    0     0     0 7240 10062  3  0 97  0  0
 7  0      0 28078528  15168 953792    0    0     0    72 9030 12457  4  0 95  0  0
 4  0      0 28069568  15168 953856    0    0     0     0 9392 13807  6  0 94  0  0
 5  0      0 28059968  15168 953856    0    0     0     0 8739 13014  8  1 91  0  0
 0  0      0 28044800  15168 953856    0    0     0     0 1494 1677  3  0 97  0  0
 1  0      0 28044736  15168 953920    0    0     0     0 1733 1925  1  0 99  0  0
 0  0      0 28043200  15168 954048    0    0     0   712 4318 6036  3  0 97  0  0
 0  0      0 28031296  15168 955136    0    0   136   152 5962 9150  6  0 94  0  0
 2  0      0 28030592  15232 955264    0    0     0    80 7615 11410  7  0 93  0  0
 8  0      0 28002624  15232 955648    0    0     0     0 10306 16259  7  0 92  0  0
10  0      0 27958464  15232 955712    0    0     0     0 8332 11534 15  0 84  0  0
 3  0      0 27889856  15232 955712    0    0     0     0 12555 17295 12  1 87  0  0
 4  0      0 27887808  15232 955904    0    0     0     0 10545 16071  7  0 93  0  0
 5  0      0 27888128  15232 956032    0    0     0     0 9461 12592 10  0 90  0  0
 1  0      0 27898112  15232 956288    0    0     0     0 3044 3372  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 27883904  15296 956608    0    0     0    84 2450 3316  3  0 97  0  0
