procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 28770304  16704 949120    0    0     0     6    0    1 27  1 72  0  0
 2  0      0 28782912  16704 949184    0    0     0    64 27593 42600  1  1 97  0  0
 3  0      0 28739968  16704 949184    0    0     0     0 38163 59888  3  2 95  0  0
 3  0      0 28690304  16704 949184    0    0     0     0 15734 22678  6  1 94  0  0
 2  0      0 28666304  16832 950144    0    0   196    88 14198 20857  7  1 92  0  0
 2  0      0 28659328  16832 950336    0    0     0     0 14640 20915  5  1 94  0  0
 1  0      0 28632192  16896 951744    0    0  1240     0 13570 17239  5  1 94  0  0
 1  0      0 28619648  16896 951744    0    0     0     0 8177 11429  2  0 98  0  0
 4  0      0 28611776  16896 951744    0    0     0     0 5162 7254  2  0 98  0  0
 4  0      0 28582400  16896 951808    0    0     0     0 15285 21964  6  1 93  0  0
 4  0      0 28509760  16960 952000    0    0     0    64 15216 22113  4  1 95  0  0
 3  0      0 28479744  16960 952064    0    0     0     0 14634 20088  5  0 94  0  0
 8  0      0 28450432  16960 952128    0    0     0     0 16399 22843  4  1 95  0  0
 1  0      0 28435584  16960 952384    0    0    76     0 13282 18338  4  0 96  0  0
 3  0      0 28407168  16960 952384    0    0     0    64 13336 18006  4  1 95  0  0
 3  0      0 28392960  16960 952384    0    0     0     0 13334 18159  5  1 95  0  0
 3  0      0 28378048  17024 952384    0    0     0    52 13381 17722  4  0 95  0  0
 1  0      0 28358272  17024 952384    0    0     0     0 16222 22102  4  1 95  0  0
 4  0      0 28340160  17024 952384    0    0     0     0 13013 19022  4  1 95  0  0
 3  0      0 28334400  17024 952384    0    0     0   116 13690 20001  4  0 96  0  0
 5  0      0 28327168  17024 952384    0    0     0     0 13923 20275  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 28314880  17024 952384    0    0     0     0 14873 20789  7  1 92  0  0
 8  0      0 28276800  17024 952512    0    0     0     0 15352 21345  6  1 93  0  0
 0  0      0 28273728  17024 952576    0    0     0     0 4895 7028  2  0 98  0  0
 0  0      0 28267968  17024 952576    0    0     0     0 2389 2587  0  0 100  0  0
 2  0      0 28268544  17024 952576    0    0     0     0  600  740  0  0 100  0  0
 0  0      0 28261440  17024 952576    0    0     0     0 4979 6628  3  0 96  0  0
 0  0      0 28267456  17024 952576    0    0     0     0  351  430  0  0 100  0  0
 0  0      0 28270912  17088 952512    0    0     0    84  378  440  0  0 100  0  0
 0  0      0 28271360  17088 952576    0    0     0     0  389  455  0  0 100  0  0
 0  0      0 28271360  17088 952576    0    0     0     0  374  453  0  0 100  0  0
 0  0      0 28271360  17088 952576    0    0     0     0  730  848  0  0 100  0  0
 1  0      0 28271744  17088 952640    0    0     0     0 2577 3577  1  0 99  0  0
 0  0      0 28258304  17088 952640    0    0     0     0 6842 9363  5  0 94  0  0
 0  0      0 28249856  17088 952640    0    0     0    64  390  485  0  0 100  0  0
 0  0      0 28250624  17088 952640    0    0     0     0  413  488  0  0 100  0  0
 1  0      0 28250624  17088 952640    0    0     0     0  604  697  1  0 99  0  0
 2  0      0 28250304  17088 952640    0    0     0     0 1966 2611  2  0 98  0  0
 1  0      0 28238016  17152 952576    0    0     0    76 7651 11032  5  0 95  0  0
 3  0      0 28224384  17152 952768    0    0     0   708 11894 17163  5  0 94  0  0
 5  0      0 28215424  17152 952832    0    0     0     0 7014 10660  4  0 96  0  0
 4  0      0 28197632  17152 951744    0    0     0     0 6830 10008  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 28189632  17152 951808    0    0     0     0 6865 10071  3  0 97  0  0
 1  0      0 28169536  17216 951744    0    0     0   156 8593 12170  6  0 94  0  0
 1  0      0 28159232  17216 951936    0    0     0    68 9485 13851  5  0 95  0  0
 0  0      0 28154688  17216 951936    0    0     0     0 7907 11206  2  0 97  0  0
 0  0      0 28152768  17216 951936    0    0     0     0 8375 11925  3  0 97  0  0
 1  0      0 28146432  17216 952000    0    0     0     0 7866 11155  3  0 96  0  0
 1  0      0 28140480  17216 952192    0    0     0     0 7468 10276  4  0 96  0  0
 1  0      0 28139328  17216 952192    0    0     0    44 8547 12225  5  0 95  0  0
 3  0      0 28134336  17216 952256    0    0     0     0 8566 13235  7  0 93  0  0
 4  0      0 28128832  17216 952320    0    0     0     0 9715 14622  6  0 94  0  0
 6  0      0 28121024  17216 952320    0    0     0     0 10248 15398  8  0 92  0  0
17  0      0 28101888  17216 952384    0    0     0     0 9248 12457 10  0 89  0  0
 0  0      0 28087680  17216 952448    0    0     0    88 2006 2052  2  0 98  0  0
 0  0      0 28087104  17216 952448    0    0     0     0 1276 1170  0  0 100  0  0
 3  0      0 28086912  17216 952704    0    0     0     0 3998 5294  7  0 93  0  0
