procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 28774144  16576 965632    0    0     0     6    1    0 27  1 72  0  0
 1  0      0 28780416  16576 965568    0    0     0    64 27407 42185  2  1 97  0  0
 3  0      0 28728768  16576 965632    0    0     0    64 38701 60434  2  2 96  0  0
 2  0      0 28684864  16576 965632    0    0     0     0 15666 22313  6  1 94  0  0
 3  0      0 28671872  16576 965632    0    0     0     0 15379 22586  5  1 95  0  0
 1  0      0 28670016  16576 965632    0    0     0     0 15105 21344  3  1 96  0  0
 1  0      0 28635264  16640 965760    0    0     0    80 11623 15540  5  1 95  0  0
 1  0      0 28623616  16640 965760    0    0     0     0 11168 14387  3  0 97  0  0
 1  0      0 28616256  16640 965760    0    0     0     0 5541 7170  2  0 98  0  0
 2  0      0 28578752  16640 965760    0    0     0     0 14016 18980  5  1 95  0  0
 1  0      0 28510336  16640 965760    0    0     0     0 15598 22313  4  1 95  0  0
 3  0      0 28471104  16640 965760    0    0     0     0 13520 18255  5  1 94  0  0
 1  0      0 28454656  16640 965760    0    0     0     0 16076 22041  4  1 95  0  0
 3  0      0 28437632  16768 965888    0    0     0    72 12636 16894  4  1 95  0  0
 3  0      0 28416320  16768 965888    0    0     0     0 11417 14973  5  0 95  0  0
 2  0      0 28395648  16768 965888    0    0     0     0 13444 18251  4  0 95  0  0
 3  0      0 28381248  16768 965888    0    0     0     0 12572 17544  4  0 96  0  0
 1  0      0 28358464  16768 965888    0    0     0     4 13432 18616  5  1 94  0  0
 8  0      0 28347968  16768 965888    0    0     0     0 15385 22022  4  1 96  0  0
 3  0      0 28334400  16768 965888    0    0     0     0 13334 20495  4  0 96  0  0
 1  0      0 28328576  16768 965888    0    0     0     0 14067 19868  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 28314560  16832 965888    0    0   712     0 14733 21335  6  1 93  0  0
 5  0      0 28273792  17856 968064    0    0   988    40 17771 23884  8  1 92  0  0
 0  0      0 28270656  17856 968192    0    0     0     0 7656 10958  3  0 97  0  0
 0  0      0 28266368  17856 968192    0    0     0     0  964 1102  0  0 100  0  0
 0  0      0 28267264  17856 968192    0    0     0     0  514  573  0  0 100  0  0
 1  0      0 28265216  17856 968192    0    0     0     0 5637 7681  3  0 97  0  0
 0  0      0 28274816  17856 968192    0    0     0     0  494  521  0  0 100  0  0
 0  0      0 28274624  17920 968192    0    0     0    88  402  507  0  0 100  0  0
 0  0      0 28274816  17920 968192    0    0     0     0  635  690  0  0 100  0  0
 3  0      0 28273856  17920 968256    0    0     0     0 3643 5103  2  0 98  0  0
 1  0      0 28244672  17920 968448    0    0     0     0 6611 9437  5  0 95  0  0
 0  0      0 28244032  17920 968448    0    0     0   220  522  552  1  0 99  0  0
 0  0      0 28244800  17920 968448    0    0     0     0  478  552  0  0 100  0  0
 0  0      0 28244800  17920 968448    0    0     0     0  474  580  0  0 100  0  0
 0  0      0 28244544  17984 968448    0    0     0    80  484  571  0  0 100  0  0
 0  0      0 28255616  17984 957568    0    0     0     0  495  534  0  0 100  0  0
 0  0      0 28262080  17984 952000    0    0     0     0 2478 3024  0  0 100  0  0
 1  0      0 28260416  17984 952064    0    0     0     0 7003 10023  3  0 96  0  0
 4  0      0 28224832  17984 952128    0    0     0     0 5470 8214  4  0 96  0  0
 3  0      0 28218880  17984 952128    0    0     0     0 8589 12543  5  0 95  0  0
 0  0      0 28193216  17984 952192    0    0     0     0 7635 11343  5  0 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 28183744  18048 952256    0    0     0   132 8005 11812  4  0 96  0  0
 5  0      0 28182144  18112 952384    0    0     0     0 6209 8941  2  0 98  0  0
 5  0      0 28168768  18112 952448    0    0     0     0 7227 10147  6  0 94  0  0
 0  0      0 28162048  18112 952512    0    0     0     0 5582 8060  3  0 97  0  0
 1  0      0 28154560  18112 952512    0    0     0     0 7554 10438  3  0 96  0  0
 0  0      0 28157504  18112 952576    0    0     0     0 7834 11164  3  0 96  0  0
 2  0      0 28145920  18112 952704    0    0     0     0 7206 9836  4  0 96  0  0
 0  0      0 28133184  18176 952704    0    0     0    68 8107 11026  4  0 96  0  0
 5  0      0 28132800  18176 952768    0    0     0     0 8508 12360  3  0 96  0  0
 2  0      0 28126016  18176 952768    0    0     0     0 8348 12471  8  0 91  0  0
 4  0      0 28104768  18176 952960    0    0     0    88 11890 17359 10  1 89  0  0
 6  0      0 28097472  18176 952960    0    0     0     0 10060 14921 11  0 88  0  0
 4  0      0 28078848  18176 952960    0    0     0     0 9667 13075 13  0 87  0  0
 0  0      0 28074048  18176 953024    0    0     0     0 1954 1698  3  0 97  0  0
 0  0      0 28074240  18176 953024    0    0     0     0  710  731  1  0 99  0  0
 0  0      0 28085952  18176 953024    0    0     0     0  622  709  0  0 100  0  0
 1  0      0 28083776  18240 953344    0    0     0    72 3721 4427  3  0 97  0  0
 3  0      0 28058048  18240 953664    0    0     0   712 3498 4560  3  0 97  0  0
 1  0      0 28053504  18240 955008    0    0     0     0 6451 8569  7  0 93  0  0
 0  0      0 28051712  18240 955264    0    0     0     0 2838 3776  4  0 96  0  0
 2  0      0 28049280  18240 955712    0    0     0   132 7023 9565  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 28033728  18240 955968    0    0     0     0 5364 7665  6  0 93  0  0
 4  0      0 28029888  18304 956736    0    0     0    56 5767 7803  7  0 93  0  0
 3  0      0 27975168  18304 957952    0    0     0     0 7208 9369  8  0 91  0  0
11  0      0 27966208  18304 959616    0    0   216    20 7190 9615  7  0 92  0  0
 2  0      0 27948864  18368 960512    0    0     4   172 8038 9792  7  1 92  0  0
