procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 28791168  15680 960576    0    0     0     6    1    0 27  1 72  0  0
 1  0      0 28796288  15680 960192    0    0     0    64 27738 42444  2  2 97  0  0
 3  0      0 28765632  15680 960192    0    0     0     0 38900 60120  3  2 96  0  0
 2  0      0 28716672  15680 960192    0    0     0    16 16007 23156  6  1 93  0  0
 5  0      0 28693824  15680 960192    0    0     0     0 14421 21463  5  1 94  0  0
 2  0      0 28695296  15744 960192    0    0     0    76 13830 19676  3  0 96  0  0
 2  0      0 28668416  15744 960448    0    0     0     0 12244 16571  5  1 94  0  0
 1  0      0 28648832  15744 960768    0    0     0     0 9486 12386  2  1 98  0  0
 0  0      0 28642560  15744 960768    0    0     0     0 6755 8762  3  0 97  0  0
 3  0      0 28600448  15744 960896    0    0     0     0 14391 19926  4  0 95  0  0
 1  0      0 28537472  15744 960960    0    0     0     0 16285 23309  5  1 94  0  0
 4  0      0 28500544  15744 960960    0    0     0     0 13954 18938  5  0 95  0  0
 8  0      0 28478784  15808 961216    0    0     0    72 17265 23379  4  1 95  0  0
 1  0      0 28463680  15808 961280    0    0     0     0 13259 17837  4  1 95  0  0
 3  0      0 28436224  15808 961344    0    0     0     0 12849 16672  4  0 95  0  0
 2  0      0 28416704  15808 961344    0    0     0     0 13882 18318  4  0 95  0  0
 1  0      0 28404288  15808 961344    0    0     0     0 12546 16796  5  0 95  0  0
 1  0      0 28376256  15808 961344    0    0     0     0 16171 22983  4  0 96  0  0
 1  0      0 28366016  15808 961344    0    0     0   100 11763 17370  5  1 95  0  0
 1  0      0 28358400  15808 961344    0    0     0     0 15520 22854  4  1 96  0  0
 1  0      0 28351040  15808 961344    0    0     0     0 13838 20349  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 28320704  15808 961344    0    0     0     0 16744 24774  9  1 90  0  0
 2  0      0 28294016  15808 961664    0    0     0     0 14430 21241  6  0 94  0  0
 0  0      0 28293248  15936 961600    0    0     0    68 4247 5157  1  0 98  0  0
 0  0      0 28288320  15936 961728    0    0    72     0  482  558  0  0 100  0  0
 2  0      0 28286400  15936 961856    0    0     0     0 4201 5914  1  0 99  0  0
 0  0      0 28283520  15936 961856    0    0     0     0 2981 3930  2  0 97  0  0
 0  0      0 28283520  15936 961856    0    0     0     0  415  478  0  0 100  0  0
 0  0      0 28283520  15936 961856    0    0     0     0  380  437  0  0 100  0  0
 0  0      0 28283904  16000 961856    0    0     0    68  487  577  0  0 100  0  0
 0  0      0 28282432  16000 961984    0    0     4     0 8039 11522  4  0 96  0  0
 4  0      0 28268544  16000 961984    0    0     0     0 1836 2401  4  0 96  0  0
 2  0      0 28256832  16000 962048    0    0     0     0 9621 14490  6  0 94  0  0
 5  0      0 28240640  16000 962240    0    0     0    64 9492 14637  6  0 93  0  0
 0  0      0 28234688  16064 962304    0    0     0   212 2427 3511  1  0 99  0  0
 0  0      0 28229760  16064 962624    0    0     4     0  351  444  0  0 100  0  0
 0  0      0 28229952  16064 962624    0    0     0     0  418  617  0  0 100  0  0
 0  0      0 28230144  16064 962624    0    0     0     0  395  573  0  0 100  0  0
 0  0      0 28230592  16064 962624    0    0     0   196 2496 3103  1  0 99  0  0
 0  0      0 28229376  16064 962688    0    0     0     0  575  699  0  0 100  0  0
 2  0      0 28224064  16128 962688    0    0     0    48 3978 5502  3  0 97  0  0
 7  0      0 28209152  16128 962752    0    0     4     0 4002 5801  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 28189440  16128 962752    0    0     0     0 7833 11774  4  0 96  0  0
 1  0      0 28165120  16128 962880    0    0     0     0 7666 11266  5  0 95  0  0
 2  0      0 28165056  16128 952000    0    0     0     0 9043 13465  6  0 94  0  0
 0  0      0 28166656  16128 946496    0    0     0     0 7164 10380  4  0 96  0  0
 1  0      0 28164608  16192 946496    0    0     0    88 7769 11421  3  0 97  0  0
 1  0      0 28159168  16192 946624    0    0     0     0 7958 11611  2  0 98  0  0
 2  0      0 28158208  16192 946624    0    0     0    64 5496 7645  2  0 97  0  0
 2  0      0 28157184  16192 946688    0    0     0     0 7292 10190  3  0 97  0  0
 4  0      0 28153728  16192 946688    0    0     0     0 7653 12111  6  0 93  0  0
 4  0      0 28133184  16192 946688    0    0     0     0 10147 15234  8  0 91  0  0
 6  0      0 28114752  16192 946880    0    0     0     0 10321 15709 11  0 88  0  0
 7  0      0 28078080  16192 946944    0    0     0   136 12714 17586 15  0 84  0  0
 0  0      0 28063744  16192 947008    0    0     0     0 2502 2206  4  0 96  0  0
 0  0      0 28062784  16192 947008    0    0     0     0  712  878  0  0 100  0  0
 0  0      0 28062272  16192 947008    0    0     0     0  619  762  0  0 100  0  0
 6  0      0 28052480  16192 947136    0    0     0     0 2012 2349  2  0 98  0  0
 1  0      0 28030976  16256 947712    0    0     0   776 3748 4641  4  0 96  0  0
 8  0      0 28024512  16256 949312    0    0     0     0 6489 9123  6  0 93  0  0
 3  0      0 28022976  16256 949376    0    0     0     0 2213 2703  3  0 97  0  0
 5  0      0 28021184  16256 949952    0    0     0     0 6511 9309  5  0 95  0  0
 3  0      0 28007808  16256 950272    0    0     0     0 4322 5796  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 27997120  16256 950976    0    0     0    64 6152 8426  8  0 92  0  0
 6  0      0 27983808  16320 951872    0    0     0    60 6685 9278  7  0 93  0  0
 3  0      0 27933696  16320 952896    0    0     0     0 7614 10555  8  0 91  0  0
 4  0      0 27924480  16320 953536    0    0     0     0 6200 8140  5  0 94  0  0
 4  0      0 27914176  16448 954752    0    0   260     0 5787 7574  7  0 93  0  0
 3  0      0 27887360  16448 954944    0    0     0     0 8300 10882  9  0 91  0  0
 3  0      0 27879808  16448 957056    0    0     0     0 6554 8902  5  0 94  0  0
