procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 29018880  12544 899904    0    0     0     7    0    1 36  2 62  0  0
 1  0  16384 29017920  12608 899008    0    0     0   160 28104 42509  2  1 97  0  0
 3  0  16384 28967744  12608 899072    0    0     0     0 39829 59958  3  2 96  0  0
 3  0  16384 28925056  12608 899072    0    0     0     0 16293 22793  6  0 94  0  0
 4  0  16384 28906432  12608 899072    0    0     0    60 15029 21828  5  1 94  0  0
 1  0  16384 28906048  12608 899072    0    0     0     0 14084 19836  3  1 96  0  0
 2  0  16384 28870848  12608 898688    0    0     0     0 12267 16943  5  1 94  0  0
 1  0  16384 28855552  12608 898816    0    0     0     0 8801 12368  2  0 98  0  0
 1  0  16384 28847168  12608 898816    0    0     0    48 3728 4910  2  0 98  0  0
 5  0  16384 28812160  12608 898944    0    0     0    64 14457 21223  5  1 95  0  0
 1  0  16384 28736064  12608 898944    0    0     0     0 16667 24270  5  1 94  0  0
10  0  16384 28698112  12608 898944    0    0     0     0 14197 20188  4  1 95  0  0
 1  0  16384 28681536  12608 899200    0    0     0     0 16276 22965  4  1 95  0  0
 5  0  16384 28655744  12608 899264    0    0     0     0 15057 21714  5  1 94  0  0
 3  0  16384 28622784  12736 899264    0    0     0    76 12405 16706  5  0 95  0  0
 1  0  16384 28582720  12736 899264    0    0     0     0 14174 18904  4  1 95  0  0
 2  0  16384 28550464  12736 899264    0    0     0     0 13074 17212  4  0 96  0  0
 2  0  16384 28524864  12736 899264    0    0     0     0 15968 21864  5  1 95  0  0
 1  0  16384 28516608  12736 899264    0    0     0     0 12960 18431  5  0 95  0  0
 1  0  16384 28512000  12736 899264    0    0     0     0 14277 20193  4  0 96  0  0
 1  0  16384 28503936  12736 899264    0    0     0     0 14099 19923  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  16384 28477824  12736 899264    0    0     0     0 15284 21302  7  1 93  0  0
 1  0  16384 28458624  12736 899520    0    0     4     0 14848 21179  5  0 94  0  0
 0  0  16384 28452224  12736 899520    0    0     0     0 3048 3981  1  0 99  0  0
 0  0  16384 28450176  12736 899712    0    0     0     0 1019 1122  0  0 100  0  0
 0  0  16384 28450240  12736 899712    0    0     0     0  556  619  0  0 100  0  0
 0  0  16384 28433216  12800 899840    0    0     0    88 7033 10487  5  0 95  0  0
 0  0  16384 28445056  12800 899840    0    0     0     0  397  470  0  0 100  0  0
 0  0  16384 28443456  12800 899904    0    0     0     0 2671 3164  2  0 98  0  0
 0  0  16384 28443840  12800 899904    0    0     0     0  362  436  0  0 100  0  0
 0  0  16384 28444160  12800 899904    0    0     0     0  530  610  0  0 100  0  0
 0  0  16384 28444224  12800 899904    0    0     0     0  580  638  0  0 100  0  0
 2  0  16384 28444224  12800 899968    0    0     0     0 1901 2778  1  0 99  0  0
 1  0  16384 28431232  12864 900160    0    0     0    52 7274 10591  5  0 94  0  0
 2  0  16384 28421952  12864 900288    0    0     0    64 4030 5950  3  0 97  0  0
 1  0  16384 28392192  12864 900544    0    0     0     0 5731 8407  6  0 94  0  0
 0  0  16384 28393728  12864 900544    0    0     0     0  480  571  0  0 100  0  0
 0  0  16384 28397440  12864 900544    0    0     0     0  333  420  0  0 100  0  0
 0  0  16384 28397504  12864 900544    0    0     0     0  589  714  0  0 100  0  0
 3  0  16384 28394240  12928 900672    0    0     0   260 7434 11166  4  0 96  0  0
 2  0  16384 28391744  12928 900992    0    0     0     0 6224 9293  4  0 96  0  0
 6  0  16384 28370560  12992 901056    0    0   196     0 8240 12181  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 28343680  12992 902656    0    0     4     0 6247 8965  4  1 95  0  0
 5  0  16384 28316992  12992 903424    0    0  1236     0 9042 10676  7  0 92  0  0
 2  0  16384 28304320  13120 904896    0    0    76   152 9042 12341  7  0 93  0  0
 0  0  16384 28294528  13120 904896    0    0     0     0 6002 8815  3  0 97  0  0
 0  0  16384 28294784  13120 904960    0    0     0     0 7035 10297  2  0 98  0  0
 1  0  16384 28294784  13120 905088    0    0     0     0 6218 9103  3  0 97  0  0
 0  0  16384 28294464  13120 905088    0    0     0     0 6878 9817  3  0 97  0  0
 1  0  16384 28300992  13120 896512    0    0     0    36 9252 13410  3  0 96  0  0
 4  0  16384 28298496  13120 896576    0    0     0     0 8202 12182  7  0 93  0  0
 0  0  16384 28294080  13120 896576    0    0     0     0 7676 11225  5  0 95  0  0
 0  0  16384 28293888  13120 896576    0    0     0     0  685  740  0  0 100  0  0
 1  0  16384 28284800  13120 896640    0    0     0   712 5541 7438  6  0 94  0  0
 0  0  16384 28278848  13120 897408    0    0     0    88  861  903  0  0 100  0  0
 5  0  16384 28266240  13120 897664    0    0     0     0 6846 9547  7  0 92  0  0
 0  0  16384 28263040  13120 897792    0    0     0     0 8041 12884  7  0 93  0  0
 0  0  16384 28271552  13120 897792    0    0     0     0  434  475  0  0 100  0  0
 0  0  16384 28266880  13184 897920    0    0     0    88 4686 6036  4  0 96  0  0
 0  0  16384 28266880  13184 897920    0    0     0     0  390  488  0  0 100  0  0
 4  0  16384 28253312  13184 898176    0    0     0     0 6669 10040  6  0 94  0  0
 0  0  16384 28253312  13184 898240    0    0     0     0 3665 5565  3  0 97  0  0
 1  0  16384 28242880  13184 898560    0    0     0     0 7848 11738  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 28240832  13184 898624    0    0     0     0 3379 4510  3  0 97  0  0
 3  0  16384 28235968  13248 899072    0    0     0   128 3358 4392  4  0 96  0  0
 7  0  16384 28230592  13248 899456    0    0     0     0 5119 7330  5  0 95  0  0
 0  0  16384 28221952  13248 899520    0    0     0     0 5093 6887  7  0 93  0  0
 1  0  16384 28218496  13248 899840    0    0     0     0 5746 7341  5  0 95  0  0
 1  0  16384 28217792  13248 899968    0    0     0     0 5351 7366  6  0 93  0  0
 3  0  16384 28213888  13248 900352    0    0     0   328 4083 5765  6  0 94  0  0
 0  0  16384 28211392  13248 900416    0    0     0     0 4417 6126  3  0 96  0  0
 0  0  16384 28208448  13248 900800    0    0     0     0 4064 5171  4  0 96  0  0
 5  0  16384 28201152  13248 901184    0    0     0     0 5523 7722  5  0 95  0  0
 1  0  16384 28192960  13248 901504    0    0     0     0 6264 7735  6  0 94  0  0
 9  0  16384 28191424  13312 901888    0    0     0   784 3881 5164  4  0 96  0  0
 1  0  16384 28186496  13312 902336    0    0     0     0 5558 7363  4  0 96  0  0
 1  0  16384 28184512  13312 902784    0    0     0     0 5704 7751  3  0 96  0  0
 3  0  16384 28184256  13312 902784    0    0     0     0 2774 3777  2  0 98  0  0
 1  0  16384 28172032  13312 903232    0    0     0     0 4119 5343  3  0 96  0  0
 3  0  16384 28171008  13312 903616    0    0     0    60 4683 6070  4  0 96  0  0
 0  0  16384 28170048  13312 903936    0    0     0     0 3872 4738  3  0 97  0  0
 0  0  16384 28167744  13312 904512    0    0     0     0 4518 5863  3  0 97  0  0
 1  0  16384 28173376  13312 904960    0    0     0     0 3631 4637  2  0 98  0  0
 1  0  16384 28172480  13312 905344    0    0     0     0 3912 4939  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28170688  13312 905792    0    0     0     0 6737 9026  5  0 95  0  0
 1  0  16384 28391040  13376 906304    0    0     0    64 7527 10980  3  1 96  0  0
