procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28936768  15040 910144    0    0     0     7    0    1 36  2 62  0  0
 1  0  16384 28969728  15104 910592    0    0     0   140 27717 42994  1  1 97  0  0
 5  0  16384 28926592  15104 910784    0    0     0     0 38384 60379  2  2 96  0  0
 2  0  16384 28875264  15104 910784    0    0     0    68 16172 22840  6  0 94  0  0
 3  0  16384 28859968  15104 910784    0    0     0     0 15708 22775  5  0 95  0  0
 1  0  16384 28858944  15104 910784    0    0     0     0 14594 20509  3  1 96  0  0
 1  0  16384 28827328  15232 910656    0    0     0   132 11093 15341  5  1 94  0  0
 1  0  16384 28820480  15232 911232    0    0     0     0 11100 14757  2  0 98  0  0
 1  0  16384 28811968  15232 911232    0    0     0     0 5063 6934  2  0 98  0  0
 4  0  16384 28769856  15232 911232    0    0     0     0 13912 19691  5  1 94  0  0
 2  0  16384 28705920  15232 911296    0    0     0     0 15802 22059  4  1 95  0  0
 6  0  16384 28665792  15232 911296    0    0     0     0 14506 19742  5  0 94  0  0
 6  0  16384 28647936  15296 911424    0    0     0    92 15277 21645  3  1 96  0  0
 1  0  16384 28623488  15296 911488    0    0     0     0 12475 17815  5  0 95  0  0
 2  0  16384 28603328  15296 911488    0    0     0     0 11530 15877  4  0 95  0  0
 1  0  16384 28586624  15296 911488    0    0     0     0 13444 18598  5  1 95  0  0
 3  0  16384 28575680  15296 911488    0    0     0     0 12314 17319  4  0 95  0  0
 1  0  16384 28548352  15296 911488    0    0     0     0 16042 23079  4  1 96  0  0
 3  0  16384 28535168  15296 911488    0    0     0     0 12909 18974  5  0 95  0  0
 4  0  16384 28529664  15360 911488    0    0     0    96 13309 19786  4  1 96  0  0
 1  0  16384 28522944  15360 911488    0    0     0     0 13442 19562  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0  16384 28510272  15360 911488    0    0     0     0 14457 20204  8  1 92  0  0
 8  0  16384 28475840  15360 911616    0    0     0     0 16551 23591  8  1 91  0  0
 0  0  16384 28468672  15360 911808    0    0     0     0 4364 6218  2  0 98  0  0
 0  0  16384 28468672  15424 911808    0    0     0    76  336  448  0  0 100  0  0
 0  0  16384 28468864  15424 911808    0    0     0     0  391  456  0  0 100  0  0
 0  0  16384 28461952  15424 911872    0    0     0     0 4793 6186  3  0 97  0  0
 0  0  16384 28472960  15424 911872    0    0     0     0  380  479  0  0 100  0  0
 0  0  16384 28473216  15424 911872    0    0     0     0  314  410  0  0 100  0  0
 0  0  16384 28473792  15424 911872    0    0     0     0  297  388  0  0 100  0  0
 0  0  16384 28473792  15424 911872    0    0     0     0  321  395  0  0 100  0  0
 0  0  16384 28473792  15488 911808    0    0     0    44  578  709  0  0 100  0  0
 4  0  16384 28473216  15488 911936    0    0     0     0 2418 3347  1  0 99  0  0
 2  0  16384 28463552  15488 911936    0    0     0     0 7951 11289  5  0 94  0  0
 3  0  16384 28438208  15488 911936    0    0     0    64 4001 5685  4  0 96  0  0
 0  0  16384 28434816  15488 903424    0    0     0     0 6348 9298  4  0 96  0  0
 0  0  16384 28425024  15488 903424    0    0     0     0  419  546  0  0 100  0  0
 0  0  16384 28421888  15488 903424    0    0     0     0 2549 3172  0  0 100  0  0
 0  0  16384 28415296  15552 903424    0    0     0   136  841  951  0  0 100  0  0
 3  0  16384 28411904  15552 903488    0    0     0   184 6334 9176  3  0 97  0  0
 8  0  16384 28403840  15552 903552    0    0     0     0 5441 7807  5  0 94  0  0
 2  0  16384 28380992  15552 903552    0    0     0     0 6201 9043  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  16384 28373952  15552 903616    0    0     0     0 7816 11684  3  0 97  0  0
 0  0  16384 28365504  15552 903680    0    0     0     0 7601 10703  5  0 95  0  0
 1  0  16384 28349952  15616 902400    0    0     0   124 7933 10983  5  0 94  0  0
 1  0  16384 28346496  15616 902464    0    0     0     0 5486 7326  4  0 96  0  0
 1  0  16384 28343808  15616 902464    0    0     0     0 7277 10225  2  0 97  0  0
 0  0  16384 28339712  15616 902592    0    0     0     0 7281 10207  3  0 97  0  0
 1  0  16384 28336896  15616 902656    0    0     0     0 7810 10962  3  0 96  0  0
 2  0  16384 28335040  15616 902784    0    0     0   104 8922 12597  4  0 96  0  0
 4  0  16384 28328704  15616 902784    0    0     0     4 8402 12499  7  0 93  0  0
 0  0  16384 28323776  15616 903104    0    0     0     0 6918 9703  4  0 96  0  0
 2  0  16384 28321600  15616 903104    0    0     0     0 2880 3406  0  0 100  0  0
 2  0  16384 28307136  15616 904064    0    0     0   712 4707 5966  6  0 94  0  0
 8  0  16384 28308992  15616 904064    0    0     0    88 1361 1945  2  0 98  0  0
 1  0  16384 28280256  15616 904384    0    0     0     0 8308 12137  8  0 92  0  0
 0  0  16384 28272384  15680 904384    0    0     0    96 9240 15181  6  0 94  0  0
 0  0  16384 28274944  15680 904448    0    0     0     0 2891 3938  4  0 96  0  0
 5  0  16384 28265728  15680 904768    0    0     0     0 6656 10248  7  0 93  0  0
 0  0  16384 28268544  15680 904832    0    0     0     0 3985 6144  3  0 97  0  0
 3  0  16384 28268544  15680 904832    0    0     0     0  361  509  0  0 100  0  0
 0  0  16384 28267200  15680 904896    0    0     0     0 1539 1969  1  0 99  0  0
 4  0  16384 28266432  15680 904896    0    0     0     0 1642 2371  2  0 98  0  0
