procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28735104  17088 964096    0    0     0     5    1    0 27  2 71  0  0
 3  0  16384 28758656  17088 963072    0    0     0    64 26906 42348  1  1 97  0  0
 3  0  16384 28719616  17152 963136    0    0     0   464 37656 60074  2  1 96  0  0
 3  0  16384 28675392  17152 963200    0    0     0     0 15375 23215  6  1 94  0  0
 2  0  16384 28652288  17152 963200    0    0     0     0 14426 22534  5  0 95  0  0
 1  0  16384 28649600  17152 963264    0    0     0     0 14202 21525  5  0 95  0  0
 4  0  16384 28611648  17152 963264    0    0     0     0 13275 18812  5  1 95  0  0
 1  0  16384 28599232  17216 963264    0    0     0   248 8386 12258  2  0 98  0  0
 1  0  16384 28588864  17216 963264    0    0     0     0 3226 4476  2  0 98  0  0
 4  0  16384 28562624  17216 963264    0    0     0     0 14233 20361  5  0 95  0  0
 2  0  16384 28493952  17216 963264    0    0     0     0 16866 24401  5  1 95  0  0
 4  0  16384 28449344  17216 963264    0    0     0     0 14129 19983  5  1 94  0  0
 1  0  16384 28427456  17216 963264    0    0     0   216 16428 23158  4  1 95  0  0
 3  0  16384 28406784  17216 963456    0    0     0     0 12804 18765  4  0 95  0  0
 4  0  16384 28392128  17216 963456    0    0     0     0 11445 16511  4  0 96  0  0
 3  0  16384 28376576  17216 963456    0    0     0     0 13079 19078  5  1 95  0  0
 2  0  16384 28364096  17216 963456    0    0     0     0 12296 17590  4  0 95  0  0
 1  0  16384 28333824  17280 963392    0    0     0   180 15151 22329  3  1 96  0  0
 2  0  16384 28325440  17280 963456    0    0     0     0 13067 19811  6  0 94  0  0
 2  0  16384 28317568  17280 963456    0    0     0     0 13846 20793  4  1 96  0  0
 1  0  16384 28311424  17280 963456    0    0     0     0 15070 22336  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0  16384 28282560  17280 963456    0    0     0     0 15079 22119  8  0 91  0  0
 3  0  16384 28264000  17344 963584    0    0     0   360 13536 20468  5  0 94  0  0
 0  0  16384 28256448  17344 963648    0    0     0     0 2395 2944  1  0 99  0  0
 0  0  16384 28256448  17344 963648    0    0     0     0  396  445  0  0 100  0  0
 2  0  16384 28256384  17344 963648    0    0     0     0 1290 1754  0  0 99  0  0
 0  0  16384 28253632  17344 963648    0    0     0     0 4472 6030  3  0 97  0  0
 1  0  16384 28258304  17408 963584    0    0     0   284  445  567  0  0 100  0  0
 0  0  16384 28261440  17408 963456    0    0     0     0  828  938  0  0 100  0  0
 0  0  16384 28261696  17408 963456    0    0     0     0  642  689  0  0 100  0  0
10  0  16384 28260544  17408 963456    0    0     0     0 7194 10419  4  0 96  0  0
 0  0  16384 28241984  17408 963520    0    0     0     0 1221 1413  1  0 99  0  0
 0  0  16384 28242368  17408 963520    0    0     0     0  497  580  0  0 100  0  0
 0  0  16384 28233984  17472 963520    0    0     0   196 1231 1459  2  0 98  0  0
 0  0  16384 28233216  17472 963520    0    0     0     0  367  435  0  0 100  0  0
 0  0  16384 28233216  17472 963520    0    0     0     0 2393 2947  1  0 99  0  0
 1  0  16384 28232256  17472 963520    0    0     0     0  567  525  1  0 99  0  0
 3  0  16384 28228416  17472 963520    0    0     0     0 2070 2972  2  0 98  0  0
 0  0  16384 28217408  17536 963456    0    0     0   224 7323 10844  6  0 94  0  0
 4  0  16384 28198272  17536 963584    0    0     0     0 9283 14597  6  0 94  0  0
 2  0  16384 28190784  17536 963648    0    0     0     0 7020 10528  3  0 97  0  0
 5  0  16384 28176064  17536 963712    0    0     0     0 7835 12124  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  16384 28169664  17536 963776    0    0     0     0 6258 9250  4  0 96  0  0
 4  0  16384 28151424  17600 963776    0    0     0   300 7242 10582  5  0 95  0  0
 2  0  16384 28143552  17600 963904    0    0     0     0 8095 12043  4  0 96  0  0
 3  0  16384 28140096  17600 963904    0    0     0     0 8018 11738  4  0 96  0  0
