procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 28842496  15296 903040    0    0     0     5    1    0 27  2 71  0  0
 1  0  16384 28848256  15296 903360    0    0     0    64 28712 43167  2  1 97  0  0
 4  0  16384 28791104  15296 903360    0    0     0     0 39510 59665  3  1 96  0  0
 2  0  16384 28750592  15296 903360    0    0     0    68 16556 23801  5  1 94  0  0
 4  0  16384 28742016  15296 903360    0    0     0     0 16768 24836  5  1 95  0  0
 2  0  16384 28738432  15296 903360    0    0     0     0 14856 21127  3  0 96  0  0
 1  0  16384 28702656  15360 903744    0    0     0   104 10753 14660  5  0 95  0  0
 1  0  16384 28689600  15360 903744    0    0     0     0 7795 11017  2  1 98  0  0
 4  0  16384 28681856  15360 903808    0    0     0     0 7493 9875  3  1 96  0  0
 3  0  16384 28633472  15360 903808    0    0     0     0 14029 20344  5  1 95  0  0
 3  0  16384 28581056  15360 903808    0    0     0     0 15113 21409  5  1 95  0  0
 4  0  16384 28539584  15360 903808    0    0     0     0 15076 20992  6  1 94  0  0
 1  0  16384 28523840  15360 903936    0    0     0     0 15708 21997  4  1 96  0  0
 1  0  16384 28501120  15360 903936    0    0     0     0 12548 17473  5  0 95  0  0
 1  0  16384 28479872  15424 903936    0    0     0    80 13721 18660  5  1 94  0  0
 1  0  16384 28471616  15424 903936    0    0     0     0 13091 17885  3  0 97  0  0
 3  0  16384 28453504  15424 903936    0    0     0     0 12665 17288  5  1 95  0  0
 1  0  16384 28429952  15424 903936    0    0     0     0 16426 22933  4  1 96  0  0
 2  0  16384 28421568  15424 903936    0    0   188     0 11203 16617  6  1 94  0  0
 4  0  16384 28403456  15424 905472    0    0     4    12 15621 22651  5  1 94  0  0
 1  0  16384 28402176  15424 906048    0    0  1100     0 14495 20962  5  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  16384 28346496  15424 906816    0    0     0     0 15775 23358  9  1 90  0  0
 1  0  16384 28346560  15424 907136    0    0     0     0 12530 19186  5  1 94  0  0
 0  0  16384 28342208  15424 907136    0    0     0     0 3677 4608  1  0 98  0  0
 0  0  16384 28342464  15488 907136    0    0     0    92  336  406  0  0 100  0  0
 2  0  16384 28341824  15488 907200    0    0     0     0 3266 4566  2  0 98  0  0
 0  0  16384 28339904  15488 907392    0    0     0     0 1831 2133  2  0 98  0  0
 0  0  16384 28340096  15488 907392    0    0     0     0  753  820  0  0 100  0  0
 0  0  16384 28340096  15488 907392    0    0     0     0  675  758  0  0 100  0  0
 0  0  16384 28339968  15488 907392    0    0     0   124 1397 1744  0  0 100  0  0
 5  0  16384 28329856  15552 907456    0    0     0    64 8077 11956  5  0 95  0  0
 0  0  16384 28313216  15552 907456    0    0     0     0 1008 1102  1  0 99  0  0
 0  0  16384 28313216  15552 907456    0    0     0     0  380  449  0  0 100  0  0
 0  0  16384 28313216  15552 907456    0    0     0     0  396  491  0  0 100  0  0
 0  0  16384 28313216  15552 907456    0    0     0   128  466  624  0  0 100  0  0
 0  0  16384 28313536  15552 907456    0    0     0     0  288  377  0  0 100  0  0
 0  0  16384 28304384  15552 907456    0    0     0     0  409  388  1  0 99  0  0
 5  0  16384 28312640  15616 907456    0    0     0    48 1595 2377  1  0 99  0  0
 1  0  16384 28298432  15616 907520    0    0     0     0 9807 14116  6  0 94  0  0
 3  0  16384 28286016  15616 907520    0    0     0     0 7509 11744  3  0 96  0  0
 0  0  16384 28256448  15616 907840    0    0     0     0 3789 5285  6  0 94  0  0
 0  0  16384 28234176  15616 907904    0    0     0     0 8145 12650  5  0 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28226432  15680 907968    0    0     0     0 9330 14374  4  0 95  0  0
 3  0  16384 28221888  15744 907968    0    0     0   156 7821 11669  4  0 95  0  0
 0  0  16384 28208256  15744 908032    0    0     0     0 8156 12131  5  0 94  0  0
 5  0  16384 28205568  15744 906816    0    0     0     0 6834 10132  2  0 97  0  0
 2  0  16384 28199616  15744 906880    0    0     0     0 7564 11159  3  0 96  0  0
 4  0  16384 28198656  15744 906880    0    0     0     0 7747 11575  3  0 97  0  0
 2  0  16384 28194112  15744 906944    0    0     0     0 7404 10867  2  0 97  0  0
 1  0  16384 28193152  15744 907072    0    0     0   688 7385 10448  3  0 97  0  0
 4  0  16384 28189696  15744 907072    0    0     0     0 6956 10747  7  0 93  0  0
 3  0  16384 28181632  15744 907136    0    0     0     0 9490 14340  6  0 94  0  0
 0  0  16384 28181056  15744 907136    0    0     0     0  823  780  0  0 100  0  0
 2  0  16384 28177152  15744 907200    0    0     0     0 8114 11343  5  0 95  0  0
 0  0  16384 28165120  15744 908032    0    0     0   804 1002 1079  2  0 98  0  0
 4  0  16384 28154752  15744 908672    0    0     0     0 7897 11364  9  0 90  0  0
 4  0  16384 28144256  15744 909184    0    0     0     0 6630 9579  5  0 95  0  0
 0  0  16384 28141888  15744 909248    0    0     0     0 7157 11513  6  0 94  0  0
 0  0  16384 28142208  15744 909248    0    0     0     0  512  624  0  0 100  0  0
 0  0  16384 28138816  15808 909312    0    0     0    88 3746 5522  4  0 96  0  0
 0  0  16384 28138432  15808 909312    0    0     0     0  356  447  0  0 100  0  0
 2  0  16384 28132480  15808 910400    0    0     0     0 7472 11365  8  0 92  0  0
 1  0  16384 28125312  15808 910528    0    0     0     0 5766 8534  5  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  16384 28124800  15808 910528    0    0     0     0 1547 2287  1  0 99  0  0
 1  0  16384 28118336  15808 911232    0    0     0   364 5042 6140  4  0 95  0  0
 1  0  16384 28114304  15808 911680    0    0     0     0 5864 8629  5  0 94  0  0
 2  0  16384 28077888  15808 912832    0    0     0     0 7265 10128  6  0 94  0  0
 1  0  16384 28081792  15808 912960    0    0     0     0 3212 4238  3  0 97  0  0
 0  0  16384 28070592  15808 914176    0    0     0     0 9084 11668  6  1 93  0  0
 2  0  16384 28061952  15808 915456    0    0     0     0 6281 8005  5  0 95  0  0
 4  0  16384 28059904  15872 915584    0    0     0    72 4433 5619  5  0 95  0  0
 5  0  16384 28055552  15872 915712    0    0     0     0 3223 4573  4  0 95  0  0
 3  0  16384 28042752  15872 916800    0    0     0     0 5860 6922  9  0 91  0  0
 6  0  16384 28038720  15872 917184    0    0     0     0 2025 2431  2  0 98  0  0
 0  0  16384 27987648  15872 918144    0    0     0   168 4918 6232  5  1 94  0  0
 4  0  16384 27982656  15872 919360    0    0     0     0 5239 6684  4  0 96  0  0
