procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28937216  14016 894016    0    0     0     7    0    0 36  2 62  0  0
 2  0  16384 28972672  14016 893632    0    0     0    64 27864 42488  1  2 97  0  0
 3  0  16384 28929280  14016 893696    0    0     0     0 38912 59925  2  2 96  0  0
 3  0  16384 28877312  14016 893760    0    0     0    64 16661 23185  5  1 94  0  0
 2  0  16384 28861632  14016 893760    0    0     0     0 14925 22042  5  0 95  0  0
 1  0  16384 28864128  14016 893760    0    0     0     0 13048 18604  3  1 96  0  0
 2  0  16384 28818112  14080 893824    0    0     0    76 13295 18299  5  1 95  0  0
 1  0  16384 28811840  14080 893824    0    0     0     0 9424 12260  2  0 98  0  0
 1  0  16384 28802048  14080 893824    0    0     0     0 3688 4573  2  0 98  0  0
 3  0  16384 28764608  14080 893824    0    0     0     0 16726 22474  5  1 94  0  0
 2  0  16384 28694336  14080 893824    0    0     0     0 16564 23627  5  1 94  0  0
 1  0  16384 28652288  14080 893824    0    0     0     0 13972 18995  5  0 95  0  0
 1  0  16384 28639872  14144 893888    0    0     0    72 15914 21263  4  0 95  0  0
 1  0  16384 28616384  14144 894016    0    0     0     0 14344 19335  4  1 95  0  0
 2  0  16384 28601216  14144 894016    0    0     0     0 12722 16417  4  0 96  0  0
 1  0  16384 28589696  14144 894016    0    0     0     0 16707 23114  5  1 95  0  0
 3  0  16384 28570304  14144 894016    0    0     0     0 13127 18007  4  0 96  0  0
 1  0  16384 28547008  14144 894016    0    0     0     0 14377 19995  4  0 95  0  0
 6  0  16384 28532416  14208 893952    0    0     0    32 15330 22469  5  1 94  0  0
 2  0  16384 28523712  14208 894016    0    0     0     0 14170 20450  4  1 96  0  0
 1  0  16384 28522432  14208 894016    0    0     0     0 14156 19766  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  16384 28495104  14208 894016    0    0     0     0 16221 22023  8  1 91  0  0
 2  0  16384 28475200  14208 894144    0    0     0     0 14765 20958  6  1 94  0  0
 0  0  16384 28467200  14272 894656    0    0     0    76 2319 2716  1  0 99  0  0
 0  0  16384 28467200  14272 894656    0    0     0     0 2645 3440  0  0 100  0  0
 6  0  16384 28465856  14272 894656    0    0     0     0 2302 2976  1  0 99  0  0
 0  0  16384 28463488  14272 894720    0    0     0     0 4316 5711  4  0 96  0  0
 0  0  16384 28459456  14272 894720    0    0     0     0  595  659  0  0 100  0  0
 0  0  16384 28462272  14272 894720    0    0     0     0  325  407  0  0 100  0  0
 0  0  16384 28462592  14336 894720    0    0     0    84  583  708  0  0 100  0  0
 0  0  16384 28462016  14336 894720    0    0     0     0 1310 1748  1  0 99  0  0
 0  0  16384 28458560  14336 894720    0    0     0     0 1813 2322  0  0 99  0  0
 0  0  16384 28459520  14336 894720    0    0     0     0 1068 1259  0  0 100  0  0
 1  0  16384 28459520  14336 894720    0    0     0   264  654  773  1  0 99  0  0
 1  0  16384 28452416  14336 894784    0    0     0     0 13905 20781  5  0 95  0  0
 6  0  16384 28438272  14336 894784    0    0     0     0 7611 10346  7  0 93  0  0
 0  0  16384 28418944  14336 894848    0    0     0     0 1407 1434  3  0 97  0  0
 0  0  16384 28426496  14336 894848    0    0     0     0  869  936  0  0 100  0  0
 1  0  16384 28405632  14336 894976    0    0     0   712 5620 8036  8  0 92  0  0
 9  0  16384 28375168  14400 897152    0    0   320    76 14508 22430 10  1 89  0  0
 1  0  16384 28358272  14400 897344    0    0     0     0 3424 4378  6  0 94  0  0
 4  0  16384 28345152  14400 898752    0    0  1236     0 11387 16052  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  16384 28360128  14400 899200    0    0     0     0 4254 6157  3  0 97  0  0
 1  0  16384 28347136  14400 899264    0    0     0     0 6726 9978  6  0 94  0  0
 3  0  16384 28338752  14400 899264    0    0     0     0 5019 7859  3  0 97  0  0
 4  0  16384 28330688  14528 899840    0    0     0   136 5988 8771  4  0 96  0  0
 3  0  16384 28317248  14528 900032    0    0     0     0 7170 10258  5  0 94  0  0
 9  0  16384 28299776  14528 900032    0    0     0     0 6963 10157  7  0 93  0  0
 7  0  16384 28289344  14528 900352    0    0     0     0 5246 7094  6  0 94  0  0
 2  0  16384 28281792  14528 900480    0    0     0     0 6108 8576  6  0 94  0  0
 2  0  16384 28278464  14528 900672    0    0     0     0 5861 8545  4  0 96  0  0
 1  0  16384 28270784  14528 900736    0    0     0     0 5152 7184  5  0 95  0  0
 1  0  16384 28265728  14592 901056    0    0     0    88 4608 6540  3  0 97  0  0
 5  0  16384 28264960  14592 901248    0    0     0     0 5132 6834  3  0 97  0  0
 0  0  16384 28258496  14592 901568    0    0     0    88 7611 10123  5  0 95  0  0
 1  0  16384 28255040  14592 902016    0    0     0     0 5280 7375  2  0 97  0  0
 3  0  16384 28251776  14592 902272    0    0     0     0 5684 7838  4  0 95  0  0
 0  0  16384 28221568  14592 902464    0    0     0     0 6688 8909  3  0 97  0  0
 2  0  16384 28214144  14592 902784    0    0     0     0 4754 6514  2  0 98  0  0
 1  0  16384 28210240  14656 902848    0    0     0    80 5773 7446  4  0 95  0  0
