procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28994816  13440 890496    0    0     0     7    0    0 36  2 62  0  0
 1  0  16384 28982720  13440 890304    0    0     0    64 27312 42221  2  2 97  0  0
 3  0  16384 28934208  13440 890304    0    0     0     0 38384 60126  2  2 96  0  0
 2  0  16384 28891648  13504 890304    0    0     0   144 16237 22824  6  1 94  0  0
 2  0  16384 28878208  13504 890432    0    0     0     0 17039 23827  5  1 94  0  0
 3  0  16384 28877632  13504 890304    0    0     0     0 14055 20009  3  1 96  0  0
 1  0  16384 28840960  13504 890304    0    0     0     0 11296 15453  5  1 94  0  0
 1  0  16384 28830080  13504 890368    0    0     0     0 9118 12383  2  0 98  0  0
 1  0  16384 28822400  13504 890368    0    0     0     0 4321 5787  2  0 98  0  0
 4  0  16384 28783232  13504 890432    0    0     0     0 14808 20890  5  1 94  0  0
 2  0  16384 28713920  13568 890560    0    0     0    32 19218 26712  5  1 94  0  0
 2  0  16384 28674432  13568 890560    0    0     0     0 14671 19761  5  1 94  0  0
 9  0  16384 28655552  13568 890816    0    0     0     0 18046 24099  4  1 95  0  0
 1  0  16384 28634304  13568 890880    0    0     0     0 13482 17818  5  0 95  0  0
 3  0  16384 28607744  13568 890880    0    0     0     0 13468 17117  4  0 96  0  0
 2  0  16384 28593472  13568 890880    0    0     0     0 16222 21498  5  1 94  0  0
 2  0  16384 28580288  13632 890880    0    0     0    72 14535 18704  4  0 96  0  0
 1  0  16384 28554560  13632 890880    0    0     0     0 15582 20433  4  1 95  0  0
 2  0  16384 28541120  13632 890880    0    0     0     0 14435 19971  5  1 95  0  0
 2  0  16384 28537088  13632 890880    0    0     0     0 13966 20189  4  0 96  0  0
 3  0  16384 28530560  13632 890880    0    0     0     0 13572 19805  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  16384 28497216  13632 890880    0    0     4     0 15214 21607  8  1 91  0  0
 2  0  16384 28486400  13632 891264    0    0     0     0 15136 22947  6  1 94  0  0
 0  0  16384 28478144  13632 891456    0    0     0    88 2856 3522  1  0 99  0  0
 0  0  16384 28478208  13632 891456    0    0     0     0  392  463  0  0 100  0  0
 4  0  16384 28479104  13632 891456    0    0     0     0 3784 4949  1  0 99  0  0
 0  0  16384 28476032  13632 891520    0    0     0     0 4934 6713  4  0 96  0  0
 0  0  16384 28477056  13632 891712    0    0     0     0 1079 1235  0  0 99  0  0
 0  0  16384 28477120  13696 891712    0    0     0    92  319  404  0  0 100  0  0
 0  0  16384 28477888  13696 891712    0    0     0     0  437  504  0  0 100  0  0
 0  0  16384 28477248  13696 891712    0    0     0     0  643  789  1  0 99  0  0
 0  0  16384 28476480  13696 891712    0    0     0     0  645  778  0  0 100  0  0
 0  0  16384 28476608  13696 891712    0    0     0     0  766  887  0  0 100  0  0
 0  0  16384 28476032  13696 891712    0    0     0     0  807 1057  0  0 100  0  0
 4  0  16384 28462848  13696 891776    0    0     0   388 13182 20474  4  0 95  0  0
 2  0  16384 28449664  13696 891776    0    0     0     0 9984 14144  6  0 94  0  0
 0  0  16384 28440064  13696 891968    0    0     0     0 3097 4111  4  0 96  0  0
 0  0  16384 28442752  13696 891968    0    0     0     0  970 1311  0  0 100  0  0
 4  0  16384 28428352  13696 892096    0    0     0     0 5508 8302  6  0 94  0  0
 2  0  16384 28408960  13760 893312    0    0     0   780 9516 14929  7  0 92  0  0
 0  0  16384 28395008  13760 893440    0    0     0     0 6749 9229  7  0 92  0  0
 7  0  16384 28386112  13760 893824    0    0     0     0 7006 10637  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28381568  13760 893952    0    0     0     0 5940 8867  5  0 95  0  0
 5  0  16384 28376512  13760 894080    0    0     0     0 5722 8960  3  0 96  0  0
 2  0  16384 28359424  13824 894208    0    0     0   136 4786 6472  6  0 94  0  0
 3  0  16384 28356096  13824 894336    0    0     0     0 6495 9909  4  0 96  0  0
 3  0  16384 28332672  13824 894656    0    0     0     0 6005 8200  7  0 93  0  0
 6  0  16384 28309952  13824 894912    0    0     0     0 7840 11343  8  0 92  0  0
 1  0  16384 28305344  13824 894976    0    0     0     0 4746 6508  6  0 94  0  0
 1  0  16384 28299456  13824 895168    0    0     0     0 5787 8074  5  0 94  0  0
 3  0  16384 28294336  13888 895488    0    0     0    88 5322 7843  4  0 96  0  0
 1  0  16384 28287104  13888 895616    0    0     0     0 6071 9039  3  0 96  0  0
 2  0  16384 28269824  13888 895872    0    0     0     0 5492 7850  5  0 95  0  0
 2  0  16384 28246336  13888 896064    0    0     0     0 5180 7029  3  0 97  0  0
 4  0  16384 28244608  13888 892288    0    0     0    88 4183 5862  4  0 96  0  0
 4  0  16384 28236928  13952 892480    0    0     0    64 7417 10179  4  0 96  0  0
 0  0  16384 28229248  13952 892672    0    0     0     0 5427 7513  4  0 96  0  0
 1  0  16384 28227584  13952 892928    0    0     0     0 3691 4645  3  0 96  0  0
 2  0  16384 28226624  13952 893184    0    0     0     0 6425 8968  4  0 96  0  0
 2  0  16384 28219520  13952 893440    0    0     0   192 4664 6144  3  0 96  0  0
 0  0  16384 28211456  14016 893760    0    0     0    80 4938 6417  3  0 96  0  0
