procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 28921728  14656 903424    0    0     0     7    0    0 36  2 62  0  0
 1  0  16384 28935872  14656 902720    0    0     0    64 27177 42375  1  2 97  0  0
 4  0  16384 28899456  14656 902720    0    0     0     0 38765 60607  3  1 96  0  0
 3  0  16384 28852032  14656 902720    0    0     0     0 14789 21566  5  1 94  0  0
 3  0  16384 28830976  14656 902720    0    0     0    64 14389 21488  5  1 94  0  0
 1  0  16384 28832320  14720 902656    0    0     0    76 13954 19955  3  0 96  0  0
 2  0  16384 28795584  14720 902720    0    0     0     0 12015 16409  5  1 94  0  0
 1  0  16384 28785152  14720 902720    0    0     0     0 9317 12471  2  1 98  0  0
 1  0  16384 28777280  14720 902720    0    0     0     0 3637 4747  2  0 98  0  0
 3  0  16384 28744704  14720 902720    0    0     0    68 15476 21574  5  0 95  0  0
 1  0  16384 28680832  14720 902784    0    0     0     0 17602 24243  6  1 93  0  0
 3  0  16384 28641600  14720 902784    0    0     0     0 14331 19290  4  0 96  0  0
 3  0  16384 28620352  14784 902848    0    0     0    72 16573 22174  4  1 95  0  0
 1  0  16384 28604544  14784 902976    0    0     0     0 14510 19802  4  0 95  0  0
 1  0  16384 28584128  14784 902976    0    0     0   836 12619 16666  4  0 96  0  0
 0  0  16384 28571264  14784 902976    0    0     0     0 16964 23402  4  1 95  0  0
 4  0  16384 28557952  14784 902976    0    0     0     0 14308 19186  4  0 96  0  0
 1  0  16384 28531456  14784 902976    0    0     0     0 14133 18735  5  1 95  0  0
 5  0  16384 28513472  14784 902976    0    0     0     0 18334 25910  5  1 95  0  0
 3  0  16384 28502272  14784 902976    0    0     0    32 13866 21572  4  0 95  0  0
 4  0  16384 28496704  14784 902976    0    0     0     0 15082 21879  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  16384 28488256  14784 902976    0    0     0     0 15710 22732  7  1 93  0  0
 2  0  16384 28456576  14784 903104    0    0     0     0 15960 22202  6  1 93  0  0
 0  0  16384 28453184  14784 903104    0    0     0     0 6800 9436  2  0 97  0  0
 0  0  16384 28448704  14784 903104    0    0     0     0 2306 2643  1  0 99  0  0
 0  0  16384 28447936  14784 903104    0    0     0     0  938 1034  0  0 100  0  0
 0  0  16384 28444928  14784 903168    0    0     0     0 5751 7672  4  0 96  0  0
 0  0  16384 28442816  14848 903104    0    0     0    88  629  817  0  0 100  0  0
 0  0  16384 28446336  14848 903424    0    0     0     0 1182 1445  0  0 100  0  0
 0  0  16384 28445824  14848 903424    0    0     0     0  584  853  0  0 100  0  0
 0  0  16384 28446144  14848 903424    0    0     0     0  378  565  0  0 100  0  0
 0  0  16384 28446400  14848 903616    0    0     0     0 1078 1335  1  0 99  0  0
 0  0  16384 28442368  14848 903616    0    0     0     0  624  838  0  0 100  0  0
 1  0  16384 28442368  14848 903616    0    0     0     0  920 1302  0  0 100  0  0
 2  0  16384 28437376  14848 903616    0    0     0   128 14862 23013  4  1 95  0  0
 3  0  16384 28423360  14912 903680    0    0     0    24 11091 16241  5  0 95  0  0
 0  0  16384 28410624  14912 903680    0    0     0     0 4095 5934  4  0 96  0  0
 0  0  16384 28410432  14912 903680    0    0     0     0  921 1207  0  0 100  0  0
 4  0  16384 28398976  14912 903744    0    0     0     0 5463 8062  7  0 92  0  0
 8  0  16384 28365120  14912 904768    0    0     0   712 13112 20799  6  1 93  0  0
 0  0  16384 28346688  14912 904768    0    0     0     0 6179 9479  8  0 92  0  0
 1  0  16384 28341312  14976 904832    0    0     0   120 2814 3919  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28328960  14976 904960    0    0     0     0 6725 10585  6  0 94  0  0
 1  0  16384 28323584  14976 905088    0    0     0     0 4917 7141  3  0 97  0  0
 3  0  16384 28304128  14976 905152    0    0     0   136 5374 7690  5  0 95  0  0
 0  0  16384 28298240  14976 905280    0    0     0     0 6742 10163  5  0 95  0  0
 1  0  16384 28274880  14976 905536    0    0     0     0 7832 11472  6  0 94  0  0
 2  0  16384 28259776  15040 905536    0    0     0   104 5073 6963  4  0 96  0  0
 2  0  16384 28244096  15040 905792    0    0     0     0 6639 9884  7  0 93  0  0
 2  0  16384 28235392  15040 905856    0    0     0     0 6084 8385  6  0 94  0  0
 0  0  16384 28226944  15040 906176    0    0     0     0 5383 7907  4  0 96  0  0
 1  0  16384 28221184  15040 906496    0    0     0     0 5651 8031  5  0 95  0  0
 1  0  16384 28214848  15104 906688    0    0     0    64 4759 6505  4  0 96  0  0
 0  0  16384 28213760  15104 902848    0    0     0     0 3875 5265  2  0 98  0  0
 2  0  16384 28208896  15104 903104    0    0     0    88 7095 9385  5  0 95  0  0
 2  0  16384 28202304  15104 903360    0    0     0     0 4598 6126  3  0 97  0  0
 2  0  16384 28201024  15104 903616    0    0     0     0 6652 9272  4  0 95  0  0
 1  0  16384 28198528  15104 903872    0    0     0     0 3459 4528  3  0 96  0  0
 0  0  16384 28194304  15104 904000    0    0     0     0 4434 5517  3  0 97  0  0
 6  0  16384 28194176  15168 904512    0    0     0    80 4526 5800  4  0 96  0  0
 0  0  16384 28188800  15168 904896    0    0     0     0 4297 5325  2  0 97  0  0
