procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 29041856  12224 895680    0    0     0     7    1    0 36  2 62  0  0
 1  0  16384 29043520  12224 895744    0    0     0    64 28439 43146  1  1 97  0  0
 5  0  16384 28993344  12224 895872    0    0     0     0 38035 59607  3  1 96  0  0
 3  0  16384 28938368  12224 895872    0    0     0     0 15818 23033  6  1 93  0  0
 1  0  16384 28929408  12224 895872    0    0     0     0 15144 22569  4  1 95  0  0
 2  0  16384 28921536  12224 895936    0    0     0    64 16979 24027  4  1 96  0  0
 1  0  16384 28892928  12288 895936    0    0     0    96 10872 14881  5  1 94  0  0
 1  0  16384 28882176  12288 895936    0    0     0     0 7863 10618  2  0 98  0  0
 2  0  16384 28871040  12288 895936    0    0     0     0 5662 7744  2  0 98  0  0
 4  0  16384 28808832  12288 895936    0    0     0     0 16649 22803  6  1 93  0  0
 1  0  16384 28758144  12288 896000    0    0     0     0 16229 22344  4  1 95  0  0
 3  0  16384 28725184  12288 896000    0    0     0     0 15009 20812  5  0 95  0  0
 0  0  16384 28702848  12288 896320    0    0     4     0 16371 22280  4  1 95  0  0
 1  0  16384 28686784  12288 896384    0    0     0     0 13060 17486  3  1 96  0  0
 2  0  16384 28666304  12288 896384    0    0     0     0 14052 18414  4  0 96  0  0
 4  0  16384 28649792  12288 896384    0    0     0     0 15022 20272  4  0 95  0  0
 3  0  16384 28628864  12352 896320    0    0     0    48 13044 16943  4  1 95  0  0
 3  0  16384 28607744  12352 896384    0    0     0     0 16319 22119  3  0 96  0  0
 2  0  16384 28593600  12352 896768    0    0     0    36 13558 19412  6  1 94  0  0
 1  0  16384 28588608  12352 896768    0    0     0     0 14765 20648  3  0 96  0  0
 3  0  16384 28580352  12352 896832    0    0     0     0 16173 22458  4  0 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0  16384 28550592  12352 896832    0    0     0     0 15339 21239  8  1 92  0  0
 5  0  16384 28532032  12352 897088    0    0     0     0 14078 20032  6  1 94  0  0
 0  0  16384 28532672  12352 897088    0    0     0     0 2540 2931  1  0 99  0  0
 0  0  16384 28530560  12416 897216    0    0     0    92 1291 1579  0  0 100  0  0
 1  0  16384 28529408  12416 897280    0    0     0     0 2830 4052  1  0 99  0  0
 3  0  16384 28526528  12416 897472    0    0     0     0 3876 5217  4  0 96  0  0
 0  0  16384 28526528  12416 897472    0    0     0     0  529  635  0  0 100  0  0
 0  0  16384 28526720  12416 897472    0    0     0     0  385  480  0  0 100  0  0
 0  0  16384 28526720  12416 897472    0    0     0     0  513  622  0  0 100  0  0
 0  0  16384 28526656  12416 897472    0    0     0   100  768  947  0  0 99  0  0
 0  0  16384 28526336  12416 897472    0    0     0     0  665  789  1  0 99  0  0
 0  0  16384 28526528  12480 897408    0    0     0    44  451  513  0  0 100  0  0
 1  0  16384 28519424  12480 898304    0    0   192     0  892  910  1  1 99  0  0
 5  0  16384 28507520  12480 899008    0    0     0     0 12414 19144  7  1 92  0  0
 2  0  16384 28486784  12480 900224    0    0  1100   128 17091 22474  5  0 94  0  0
 7  0  16384 28464512  12480 900416    0    0     0     0 10641 16074  9  0 90  0  0
 0  0  16384 28444736  12480 900416    0    0     0     0  887  938  0  0 100  0  0
 1  0  16384 28444736  12480 899328    0    0     0     0  870 1029  0  0 100  0  0
 3  0  16384 28436736  12544 899392    0    0     0   796 6093 8510  6  0 93  0  0
 0  0  16384 28422336  12544 900288    0    0     0     0 1079  966  2  0 98  0  0
 5  0  16384 28422144  12544 900288    0    0     0     0 7088 11021  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28401920  12544 900672    0    0     0     0 2919 4125  4  0 95  0  0
 7  0  16384 28404224  12544 900992    0    0     0     0 4273 6716  3  0 96  0  0
 4  0  16384 28445120  12672 900928    0    0     0    76 8005 11567  7  1 93  0  0
